Designator;Footprint;Mid X;Mid Y;Ref X;Ref Y;Pad X;Pad Y;TB;Rotation;Comment
C3;C1210;    562.992mil;    1129.921mil;     562.992mil;    1129.921mil;     562.992mil;    1129.921mil;T;   270;100 uF
C12;C0603K;   1416.929mil;    1872.441mil;    1416.929mil;    1872.441mil;    1416.929mil;    1872.441mil;T;     0;0.1uF
C13;C0603K;    688.976mil;    1688.976mil;     688.976mil;    1688.976mil;     688.976mil;    1688.976mil;T;     0;4.7uF
C16;C0603K;    783.465mil;    1653.543mil;     783.465mil;    1653.543mil;     783.465mil;    1653.543mil;T;    90;1uF
DD;LED-603;   2923.228mil;    1316.929mil;    2923.228mil;    1316.929mil;    2923.228mil;    1316.929mil;T;     0;LED-603
MCU;LQFP100;   1416.142mil;    1437.795mil;    1416.142mil;    1437.795mil;    1416.142mil;    1437.795mil;T;   315;STM32F407VGT6
ON;LED-603;   2923.228mil;    1431.102mil;    2923.228mil;    1431.102mil;    2923.228mil;    1431.102mil;T;   180;LED-603
Q1;CRYSTAL-SMD-5X3;    986.614mil;    1748.031mil;     986.614mil;    1748.031mil;     986.614mil;    1748.031mil;T;    45;8 MHz
R1;R0603;    377.559mil;     927.165mil;     377.559mil;     927.165mil;     377.559mil;     927.165mil;T;     0;10K
R5;R0603;   1679.528mil;    1844.488mil;    1679.528mil;    1844.488mil;    1679.528mil;    1844.488mil;T;   180;10K
RT9166A-36;SOT-89-3;    724.409mil;    1809.055mil;     724.409mil;    1809.055mil;     724.409mil;    1809.055mil;T;     0;RT9166A-36
SW1;SW_TACT_3X6;   2781.496mil;    1584.646mil;    2781.496mil;    1584.646mil;    2781.496mil;    1584.646mil;T;   180;SW_TACT_2P-3X6
SW2;SW_TACT_3X6;   2789.370mil;     988.189mil;    2789.370mil;     988.189mil;    2789.370mil;     988.189mil;T;   180;SW_TACT_2P-3X6
SW3;SW_TACT_3X6;    283.858mil;    1064.961mil;     283.858mil;    1064.961mil;     283.858mil;    1064.961mil;T;     0;SW_TACT_2P-3X6
TP1;B1,27;    216.535mil;     909.449mil;     216.535mil;     909.449mil;     216.535mil;     909.449mil;T;     0;PTR1B1,27
TP2;B1,27;    122.047mil;     968.504mil;     122.047mil;     968.504mil;     122.047mil;     968.504mil;T;     0;PTR1B1,27
USB;USB-MINIB;    253.150mil;    1708.661mil;     253.150mil;    1708.661mil;     253.150mil;    1708.661mil;T;   270;USB-MINIB
C1;C0603K;   1054.331mil;    1810.236mil;    1054.331mil;    1810.236mil;    1054.331mil;    1810.236mil;B;    45;20pF
C2;C0603;    645.669mil;    1539.370mil;     645.669mil;    1539.370mil;     645.669mil;    1539.370mil;B;    90;0.1 uF
C4;C0603K;    923.228mil;    1690.945mil;     923.228mil;    1690.945mil;     923.228mil;    1690.945mil;B;   225;20pF
C5;C0603K;   1429.528mil;    1146.063mil;    1429.528mil;    1146.063mil;    1429.528mil;    1146.063mil;B;   135;2.2uF
C6;C0603K;   1677.559mil;    1450.000mil;    1677.559mil;    1450.000mil;    1677.559mil;    1450.000mil;B;   225;2.2uF
C7;C0603K;   1373.622mil;    1596.063mil;    1373.622mil;    1596.063mil;    1373.622mil;    1596.063mil;B;   315;0.1uF
C8;C0603K;   1326.378mil;    1642.126mil;    1326.378mil;    1642.126mil;    1326.378mil;    1642.126mil;B;   315;1 uF
C9;C0603K;   1191.732mil;    1454.331mil;    1191.732mil;    1454.331mil;    1191.732mil;    1454.331mil;B;   225;0.1uF
C10;C0603K;   1437.402mil;     970.079mil;    1437.402mil;     970.079mil;    1437.402mil;     970.079mil;B;    45;0.1uF
C11;C0603K;   2008.661mil;    1380.709mil;    2008.661mil;    1380.709mil;    2008.661mil;    1380.709mil;B;   315;0.1uF
C14;C0603;    751.969mil;    1513.780mil;     751.969mil;    1513.780mil;     751.969mil;    1513.780mil;B;    90;10 uF
C17;C0603K;   2334.646mil;     940.945mil;    2334.646mil;     940.945mil;    2334.646mil;     940.945mil;B;   180;0.1uF
MICROSD;MICROSD_PULL_TYPE;   2642.913mil;     927.559mil;    2642.913mil;     927.559mil;    2642.913mil;     927.559mil;B;    90;MICROSD_PULL_TYPE
R6;R0603;   2738.189mil;    1459.449mil;    2738.189mil;    1459.449mil;    2738.189mil;    1459.449mil;B;   180;1K
R7;R0603;   1853.937mil;    1286.220mil;    1853.937mil;    1286.220mil;    1853.937mil;    1286.220mil;B;   315;22
R8;R0603;   1863.780mil;    1157.874mil;    1863.780mil;    1157.874mil;    1863.780mil;    1157.874mil;B;   135;22
R9;R0603;   1769.291mil;    1201.969mil;    1769.291mil;    1201.969mil;    1769.291mil;    1201.969mil;B;   135;330
R10;R0603;    986.220mil;    1747.638mil;     986.220mil;    1747.638mil;     986.220mil;    1747.638mil;B;   135;10M
R14;R0603;   2738.189mil;    1374.016mil;    2738.189mil;    1374.016mil;    2738.189mil;    1374.016mil;B;   180;1K
WIFI;ESP-12-F;    403.543mil;    1120.079mil;     403.543mil;    1120.079mil;     403.543mil;    1120.079mil;B;   270;ESP
